name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
Recipe,Yes,No,4.0,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,"['Veg Fried Rice', 'Egg Fried Rice', 'Chicken Roll', 'Tawa Roti', 'Jeera Rice', 'Paneer Butter Masala', 'Dal Tadaka', 'Chicken Curry', 'Butter Chicken', 'Gobi Manchurian Dry', 'Aloo Jeera Dry', 'Aloo Gobi Dry', 'Green Peas Fry', 'Channa Fry', 'Bhindi Fry', 'Mixed Veg Dry', 'Paneer Bhurji', 'Paneer Chilli Dry', 'Paneer Manchurian Dry', 'Garlic Paneer Dry', 'Ginger Paneer Dry', 'Dragon Paneer Dry', '1 Boiled Egg', 'Masala Omelette', 'Egg Bhurji', 'Egg Chilli Dry', 'Egg Manchurian Dry', 'Chicken Fry', 'Chicken Ghee Roast', 'Gobi Manchurian Dry', 'Gobi Chilli Dry', 'Aloo Chilli Dry', 'Aloo Manchurian Dry', 'Baby Corn Manchurian Dry', 'Baby Corn Chilli Dry', 'Veg Chilli Dry', 'Veg Manchurian Dry', 'Mushroom Chilli Dry', 'Mushroom Manchurian Dry', 'Boneless Chicken Kabab [6 Pieces]', 'Boneless Lemon Chicken Dry', 'Boneless Chicken 65 Dry', 'Boneless Chicken Manchurian Dry', 'Boneless Chilli Chicken Dry', 'Boneless Pepper Chicken Dry', 'Boneless Garlic Chicken Dry', 'Boneless Schezwan Chicken Dry', 'Boneless Hunan Chicken Dry', 'Boneless Dragon Chicken Dry', 'Matar Paneer', 'Paneer Chilli Gravy', 'Paneer Manchurian Gravy', 'Paneer Butter Masala', 'Paneer Kofta', 'Paneer Kadai', 'Paneer Do Pyaza', 'Paneer Makhanwala', 'Punjabi Paneer', 'Paneer Tikka Gravy', 'Handi Paneer', 'Kaju Paneer', 'Chana Curry', 'Green Peas Masala', 'Aloo Gobi Matar Curry', '. Mixed Veg', 'Veg Kadai', 'Dum Aloo', 'Mushroom Masala', 'Stuffed Capcicum', 'Veg Punjabi', 'Veg Gulla', 'Veg Handi', 'Kaju Masala', 'Dal Fry', 'Dal Tadaka', 'Dal Makhani', 'Chicken Curry', 'Boneless Chicken Curry', 'Kadai Chicken', 'Boneless Kadai Chicken', 'Butter Chicken', 'Boneless Butter Chicken', 'Punjabi Chicken', 'Boneless Punjabi Chicken', 'Chicken Latpat', 'Boneless Chicken Latpat', 'Handi Chicken', 'Boneless Handi Chicken', 'Egg Curry', 'Egg Manchurian Gravy', 'Egg Chilli Gravy', 'Egg Butter Masala', 'Gobi Manchurian Gravy', 'Baby Corn Manchurian Gravy', 'Veg Manchurian Gravy', 'Mushroom Manchurian Gravy', 'Boneless Chiili Chicken Gravy', 'Boneless Chicken Manchurian Gravy', 'Boneless Pepper Chicken Gravy', 'Boneless Lemon Chicken Gravy', 'Boneless Chicken 65 Gravy', 'Boneless Garlic Chicken Gravy', 'Boneless Schezwan Chicken Gravy', 'Tawa Roti', 'Ghee Roti', 'Kulcha', 'Naan', 'Tandoori Butter Roti', 'Butter Kulcha', 'Rumali Roti', 'Stuffed Kulcha', 'Plain Paratha', 'Lachha Paratha', 'Aloo Paratha', 'Gobi Paratha', 'Onion Paratha', 'Paneer Paratha', 'Mixed Veg Paratha', 'Plain Rice', 'Curd Rice', 'Jeera Rice', 'Ghee Rice', 'Tomato Rice', 'Lemon Rice', 'Veg Fried Rice', 'Mushroom Fried Rice', 'Paneer Fried Rice', 'Schezwan Veg Fried Rice', 'Schezwan Egg Fried Rice', 'Egg Fried Rice', 'Schezwan Chicken Fried Rice', 'Chicken Fried Rice', 'Veg Noodles', 'Egg Noodles', 'Chicken Noodles', 'Veg Roll', 'Paneer Roll', 'Egg Roll', 'Chicken Roll', 'Chola Bhatura', 'Puri Sabji', 'Green Salad', 'Mixed Raita', 'Cucumber Raita', 'Roasted Papad', 'Mineral Water [1 litre]', 'Mirinda [750 ml]', '7UP [750 ml]', 'Sweet Lassi', 'Salt Lassi']",Delivery,Banashankari
Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850,[],Delivery,Banashankari
Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,"['Veg Dal Fry', 'Chicken Chaap', 'Dehati Chicken [16 Pieces]', 'Veg Meals', 'Chicken Meals', 'Veg Hot and Sour Soup', 'Veg Manchow soup', 'Chicken Hot and Sour Soup', 'Chicken Manchow Soup', 'Veg Manchurian', 'Gobi Manchurian', 'Gobi Chilly', 'Chicken Pakoda', 'Pepper Chicken', 'Lemon Chicken', 'Garlic Chicken', 'Honey Chicken', 'Chilly Chicken', 'Dragon Chicken', 'Chicken Lolipop', 'Chicken Drumstick', 'Chicken Kabab', 'Chicken Manchurian', 'Chicken 65', 'Dal Fry', 'Dal Tadka', 'Spainach Fry Dal', 'Bhindi Masala', 'Bhindi Fry', 'Veg Kofta', 'Mixed Veg', 'Veg Kolhapuri', 'Chicken Butter Masala', 'Kadai Chicken', 'Chicken Sagwala', 'Chicken Patiyala', 'Chicken Masala', 'Chicken Kasa', 'Chicken Lababdar', 'Chicken Lukhnow', 'Chicken Tikka Masala', 'Chicken Curry', 'Chicken Curry Home Style', 'Chicken Rogan', 'Lachchha Paratha', 'Missi Roti', 'Stuffed Paratha', 'Onion Paratha', 'Gobi Paratha', 'Methi Paratha', 'Tawa Roti', 'Tawa Butter Roti', 'Poori', 'Plain Paratha', 'Chicken Paratha', 'Plain Rice', 'Jeera Rice', 'Ghee Rice', 'Butter Rice', 'Plain Dal Khichadi', 'Dal Khichadi Masala', 'Veg Fried Rice', 'Veg Shezwan Fried Rice', 'Veg Tripple Fried Rice', 'Chicken Fried Rice', 'Chicken Schezwan Fried Rice', 'Chicken Tripple Fried Rice', 'Veg Noodles', 'Veg Schezwan Noodles', 'Singapore Noodles', 'Chicken Noodles', 'Chicken Schezwan Noodles', 'White Sauce Pasta', 'Cheese Red Sauce Pasta', 'Cheese White Sauce Pasta', 'Red Sauce Pasta', 'Chicken White Sauce Pasta', 'Chicken Red sauce Pasta', 'Veg Roll', 'Veg Cheese Roll', 'Chicken Roll', 'Chicken Cheese Roll', 'Chilly Chicken Roll', 'Chicken Keema Roll']",Delivery,Banashankari
Petoo,No,No,3.7,21,Banashankari,Quick Bites,North Indian,450,[],Delivery,Banashankari
Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150,"['Vegetable Sandwich', 'Vegetable Sandwich with Cheese', 'Paneer Veg Sandwich', 'Paneer Veg with Cheese Sandwich', 'Mushroom Corn Sandwich with Cheese', 'Vegetable Sandwich', 'Vegetable Sandwich with Cheese', 'Cheese Onion Sandwich', 'Potato Cheese Sandwich', 'Cheese with Tomato Capsicum Sandwich', 'Paneer Veg Sandwich', 'Cheese Capsicum Sandwich', 'Cheese Tomato Sandwich', 'Plain Cheese Sandwich', 'Paneer Veg with Cheese Sandwich', 'Chilly Cheese Toast Sandwich', 'Bread Butter Gulkand Sandwich', 'Bread Butter Jam Sandwich', 'Jain Sandwich', 'Plain Paneer with Cheese Sandwich', 'Mushroom Sandwich', 'Mushroom Sandwich with Cheese', 'Mushroom Veg Sandwich with Cheese', 'Mushroom Corn Sandwich', 'Mushroom Corn Sandwich with Cheese', 'Corn Sandwich', 'Corn Cheese Sandwich', 'Corn Veg Sandwich', 'Plain Maggi', 'Veg Maggi', 'Veg Cheese Maggi', 'Corn Maggi', 'Corn Cheese Maggi', 'Mushroom Maggi', 'Mushroom Cheese Maggi', 'Paneer Maggi', 'Paneer Veg Maggi', 'Apple Milkshake', 'Pomegranate Milkshake', 'Muskmelon Milkshake', 'Banana Milkshake', 'Papaya Milkshake', 'Vanilla Milkshake with Ice Cream', 'Strawberry Milkshake with Ice Cream', 'Mango Milkshake with Ice Cream', 'Cold Coffee with Ice Cream', 'Butterscotch Milkshake with Ice Cream', 'Chocolate Milkshake with Ice Cream', 'Cold Badam Milkshake with Ice Cream', 'Grape Juice', 'Pineapple Juice', 'Watermelon Juice', 'Kharbuja Juice', 'Papaya Juice', 'Pomegranate Juice', 'Cocktail Juice', 'Apple Juice', 'Lemon Juice', 'Tomato Juice', 'Mint Lime Juice', 'Ginger Lime Juice', 'Carrot Juice', 'Cucumber Juice', 'Sweet Fresh Lime Soda', 'Salted Fresh Lime Soda', 'Salted Masala Fresh Lime Soda']",Delivery,Banashankari
Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,[],Delivery,Banashankari
Biryanis And More,Yes,No,4.0,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,[],Delivery,Banashankari
Roving Feast,No,No,4.0,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,[],Delivery,Banashankari
FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,"[""Egg 'n' Chicken Ham Breakwich"", 'Maple Pancakes', 'Muesli Fruit Yogurt Parfait', 'Egg Paratha Wrap', 'Spinach Corn Sandwich', ""Masala Omelette 'n' Garlic Bread"", 'Choco-Strawberry Ripple Cake Slice', 'Irish Coffee Bourbon Cake Slice', 'Mango Smoothie Bowl', 'Choco-Strawberry Ripple Cake Slice', 'Irish Coffee Bourbon Cake Slice']",Delivery,Banashankari
Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,[],Delivery,Banashankari
Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,"Fast Food, Burger",200,[],Delivery,Banashankari
XO Belgian Waffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400,[],Delivery,Banashankari
Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,[],Delivery,Banashankari
Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,Chinese,150,[],Delivery,Banashankari
1947,No,Yes,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850,[],Delivery,Banashankari
Cake of the Day,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150,[],Delivery,Banashankari
Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,[],Delivery,Banashankari
Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,South Indian,100,"['Tatte Idli', 'Butter Idli', 'Butter Pudi Idli', 'Uddina Vada', 'Khara Bath', 'Kesari Bath', 'Shavige Bath', 'Puliyogare', 'Gulab Jamun', 'Tatte Idli', 'Butter Idli', 'Butter Pudi Idli', 'Uddina Vada', 'Khara Bath', 'Kesari Bath', 'Pongal', 'Shavige Bath', 'Puliyogare', 'Gulab Jamun']",Delivery,Banashankari
Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200",[],Delivery,Banashankari
Sugar Rush,No,No,3.8,39,Banashankari,Bakery,"Bakery, Desserts",300,[],Delivery,Banashankari
Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,[],Delivery,Banashankari
The Good Bowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,[],Delivery,Banashankari
The Biryani Cafe,No,No,4.1,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,[],Delivery,Banashankari
Rolls On Wheels,No,No,3.6,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,[],Delivery,Banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,South Indian,150,"['Benne Dose', 'Benne Kali Dose', 'Open Dose', 'Kali Dose', 'Paddu', 'Benne Dose', 'Benne Kali Dose', 'Open Dose', 'Kali Dose', 'Paddu']",Delivery,Banashankari
Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,"Biryani, South Indian",300,[],Delivery,Banashankari
Kolbeh,No,No,3.7,22,Banashankari,Quick Bites,Fast Food,500,[],Delivery,Banashankari
Upahar Sagar,No,No,3.8,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,[],Delivery,Banashankari
Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,[],Delivery,Banashankari
Frozen Bottle,Yes,No,4.2,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,[],Delivery,Banashankari
Parimala Sweets,No,No,3.5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200,[],Delivery,Banashankari
Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700,[],Delivery,Banashankari
The Big O Bakes,No,No,4.0,66,Banashankari,Bakery,"Bakery, Desserts",300,[],Delivery,Banashankari
Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,[],Delivery,Banashankari
Krishna Sagar,No,No,3.5,31,Banashankari,Quick Bites,North Indian,200,[],Delivery,Banashankari
Dessert Rose,No,No,3.5,7,Banashankari,Dessert Parlor,Desserts,500,[],Delivery,Banashankari
Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Quick Bites,Biryani,250,[],Delivery,Banashankari
Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,Ice Cream,300,[],Delivery,Banashankari
Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,North Indian,600,[],Delivery,Banashankari
Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800,[],Delivery,Banashankari
Kaggis,No,No,3.8,64,Banashankari,Quick Bites,"Fast Food, Bakery",250,[],Delivery,Banashankari
Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,"North Indian, Iranian",950,[],Delivery,Banashankari
Chatar Patar,No,No,3.7,65,Banashankari,Quick Bites,"Fast Food, Street Food",300,[],Delivery,Banashankari
Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,[],Delivery,Banashankari
Kidambi's Kitchen,No,No,3.5,52,Banashankari,Quick Bites,South Indian,300,[],Delivery,Banashankari
Mane Thindi,No,No,3.7,130,Banashankari,Quick Bites,South Indian,200,[],Delivery,Banashankari
Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,Quick Bites,"South Indian, Biryani",300,[],Delivery,Banashankari
Floured-Baked With Love,No,No,3.8,45,Banashankari,"Takeaway, Delivery",Bakery,400,[],Delivery,Banashankari
CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,[],Delivery,Banashankari
Cakes & Slices,No,No,3.5,13,Banashankari,Bakery,"Bakery, Desserts",300,[],Delivery,Banashankari
Spice 9,No,No,3.4,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,[],Delivery,Banashankari
Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Quick Bites,Biryani,300,[],Delivery,Banashankari
Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,North Indian,300,[],Delivery,Banashankari
Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,Quick Bites,North Indian,150,[],Delivery,Banashankari
Just Bake,No,No,3.4,8,Banashankari,Bakery,"Bakery, Desserts",400,[],Delivery,Banashankari
K27 - The Pub,No,No,3.1,30,Banashankari,Bar,"Chinese, North Indian","1,000",[],Delivery,Banashankari
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,"['Open Butter Masala Dosa', 'Rice Bath', 'Masala Dosa', 'Plain Dosa', 'Set Dosa', 'Open Butter Masala Dosa', 'Special Dosa of the Day', 'Kaali Dosa', 'Butter Plain Dosa', 'Butter Kaali Dosa', 'Onion Dosa', 'Khara Bath', 'Chow Chow Bath', 'Rice Bath', 'Shavige Bath', '2 Idli', 'Thatte Idli', 'Rava Idli', '1 Vada', '1 Idli 1 Vada', 'Idli Vada', 'Idli', 'Tirupati Pongal', 'Kali Dosa [2 pieces]', 'Poori', 'Coffee', 'Tea', 'Ginger Coffee', 'Badam Milk', 'Lemon Tea', 'Green Tea', 'Lemon Honey Tea']",Delivery,Banashankari
New Mangalore Lunch Home,No,No,3.3,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200,[],Delivery,Banashankari
Coffee Bytes,No,No,3.1,6,Banashankari,Quick Bites,"Fast Food, South Indian",100,[],Delivery,Banashankari
Parjanya Chat Zone,No,No,3.3,17,Banashankari,Quick Bites,"Street Food, Fast Food",200,[],Delivery,Banashankari
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,[],Delivery,Banashankari
Ruchi Maayaka,No,No,3.3,8,Banashankari,Delivery,South Indian,100,[],Delivery,Banashankari
Anna Kuteera,Yes,No,4.0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,"['Vada', 'Ghee Masala Dosa', 'Onion Dosa', 'Rava Dosa', 'Open Butter Masala', 'Neer Dosa', 'Gud Bud Special', 'Ghee Masala Dosa', 'Ghee Plain Dosa', '2 Set Dosa', 'Onion Dosa', 'Rava Dosa', 'Open Butter Masala', 'Neer Dosa', '2 Akki Roti', '2 Idly', 'Vada', 'Rava Idly', 'Kesari Bhath', 'Khara Bhath', 'Chow Chow Bhath', '2 Poori', 'Dahi Vada', 'Rice Bhath', 'Bun', 'Coffee', 'Tea', 'Badam Milk', 'Butterscotch Ice Cream [1 Scoop]', 'Pista Ice Cream [1 Scoop]', 'Mango Ice Cream [1 Scoop]', 'Strawberry Ice Cream [1 Scoop]', 'Chocolate Ice Cream [1 Scoop]', 'Vanilla Ice Cream [1 Scoop]', 'Blackcurrant Ice Cream [1 Scoop]', 'Arabian Fantasy Ice Cream [1 Scoop]', 'Fruit Punch Ice Cream [1 Scoop]', 'Gud Bud Special', 'Chocolate Sundae', 'Golden Cherry', 'Double Sundae', 'Hot Chocolate Fudge', 'Royal Falooda', 'Kesar Falooda', 'Gulab Jamun', 'Carrot Halwa', 'Kashi Halwa', 'Mosambi Juice', 'Grape Juice', 'Pineapple Juice', 'Watermelon Juice', 'Muskmelon Juice', 'Pudina Lime Juice', 'Apple Milkshake', 'Chikoo Milkshake', 'Ice Cream Milkshake']",Delivery,Banashankari
Darbar,No,No,3.0,98,Banashankari,Bar,"North Indian, Chinese",800,[],Delivery,Banashankari
