name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),rating_votes_score,cuisine_category,rest_type_category,first_cuisine_category
Catch-up-ino,Yes,No,3.9,133.0,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari,518.6999999999999,Chinese & Pan-Asian Delights,Cafe & Bakery,Continental & Cafe Culture
Kirthi's Biryani,Yes,No,3.8,144.0,Banashankari,Cafe,"Chinese, Cafe, Italian",700.0,Cafes,Banashankari,547.1999999999999,Chinese & Pan-Asian Delights,Cafe & Bakery,Chinese & Pan-Asian Delights
T3H Cafe,No,No,3.9,93.0,Banashankari,Cafe,"Cafe, Italian, American",300.0,Cafes,Banashankari,362.7,Continental & Cafe Culture,Cafe & Bakery,Continental & Cafe Culture
360 Atoms Restaurant And Cafe,Yes,No,3.1,13.0,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400.0,Cafes,Banashankari,40.300000000000004,Chinese & Pan-Asian Delights,Cafe & Bakery,Continental & Cafe Culture
The Vintage Cafe,Yes,No,3.0,62.0,Banashankari,Cafe,"Cafe, French, North Indian",400.0,Cafes,Banashankari,186.0,North Indian & Mughlai Cuisine,Cafe & Bakery,Continental & Cafe Culture
Woodee Pizza,Yes,No,3.7,180.0,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari,666.0,Street Food & Snacks,Cafe & Bakery,Continental & Cafe Culture
Cafe Coffee Day,No,No,3.6,28.0,Banashankari,Cafe,"Cafe, Fast Food",900.0,Cafes,Banashankari,100.8,Street Food & Snacks,Cafe & Bakery,Continental & Cafe Culture
My Tea House,Yes,No,3.6,62.0,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari,223.20000000000002,Street Food & Snacks,Quick Bites & Takeaway,Continental & Cafe Culture
Hide Out Cafe,No,No,3.7,31.0,Banashankari,Cafe,Cafe,300.0,Cafes,Banashankari,114.7,Continental & Cafe Culture,Cafe & Bakery,Continental & Cafe Culture
CAFE NOVA,No,No,3.2,11.0,Banashankari,Cafe,"Cafe, Bakery",600.0,Cafes,Banashankari,35.2,Continental & Cafe Culture,Cafe & Bakery,Continental & Cafe Culture
Coffee Tindi,Yes,No,3.8,75.0,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200.0,Cafes,Banashankari,285.0,South Indian Traditional,Quick Bites & Takeaway,Continental & Cafe Culture
Sea Green Cafe,No,No,3.3,4.0,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari,13.2,Street Food & Snacks,Cafe & Bakery,Continental & Cafe Culture
Cuppa,No,No,3.3,23.0,Banashankari,Cafe,"Cafe, Fast Food",550.0,Cafes,Banashankari,75.89999999999999,Street Food & Snacks,Cafe & Bakery,Continental & Cafe Culture
Srinathji's Cafe,No,No,3.8,148.0,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari,562.4,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Redberrys,Yes,No,4.0,219.0,Basavanagudi,Cafe,"Cafe, Italian",600.0,Cafes,Banashankari,876.0,Continental & Cafe Culture,Cafe & Bakery,Continental & Cafe Culture
Foodiction,Yes,No,2.8,506.0,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500.0,,,1416.8,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Sweet Truth,Yes,No,3.9,35.0,Banashankari,Delivery,"Bakery, Desserts",500.0,Delivery,Banashankari,136.5,Desserts & Sweets,Delivery Only,Desserts & Sweets
Ovenstory Pizza,Yes,No,3.9,172.0,Banashankari,Delivery,Pizza,750.0,Delivery,Banashankari,670.8,Street Food & Snacks,Delivery Only,Street Food & Snacks
Faasos,Yes,No,4.2,415.0,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500.0,,,1743.0,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Behrouz Biryani,Yes,No,3.9,230.0,Banashankari,Delivery,Biryani,650.0,Delivery,Banashankari,897.0,Biryani & Andhra Cuisine,Delivery Only,Biryani & Andhra Cuisine
Fast And Fresh,Yes,No,2.8,91.0,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari,254.79999999999998,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Szechuan Dragon,Yes,No,4.2,1647.0,Banashankari,Casual Dining,"Chinese, Thai, Momos",600.0,Delivery,Banashankari,6917.400000000001,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Empire Restaurant,Yes,No,4.4,4884.0,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,,,21489.600000000002,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Maruthi Davangere Benne Dosa,Yes,No,4.0,17.0,Banashankari,Quick Bites,South Indian,150.0,Delivery,Banashankari,68.0,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Chaatimes,Yes,No,3.8,133.0,Basavanagudi,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari,505.4,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Havyaka Mess,No,No,3.9,28.0,Banashankari,Mess,South Indian,300.0,Delivery,Banashankari,109.2,South Indian Traditional,Others,South Indian Traditional
McDonald's,Yes,No,3.9,286.0,Banashankari,Quick Bites,"Burger, Fast Food",500.0,Delivery,Banashankari,1115.3999999999999,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Domino's Pizza,Yes,No,3.9,540.0,Banashankari,Quick Bites,"Pizza, Fast Food",800.0,Delivery,Banashankari,2106.0,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Hotboxit,No,No,3.8,36.0,Banashankari,Delivery,"North Indian, Continental, Italian",400.0,Delivery,Banashankari,136.79999999999998,North Indian & Mughlai Cuisine,Delivery Only,North Indian & Mughlai Cuisine
Kitchen Garden,Yes,No,3.6,244.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300.0,Delivery,Banashankari,878.4,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Recipe,Yes,No,4.0,804.0,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari,3216.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Beijing Bites,Yes,No,3.7,679.0,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850.0,Delivery,Banashankari,2512.3,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Tasty Bytes,Yes,No,3.1,245.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari,759.5,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Petoo,No,No,3.7,21.0,Banashankari,Quick Bites,North Indian,450.0,Delivery,Banashankari,77.7,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Shree Cool Point,Yes,No,4.1,28.0,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari,114.79999999999998,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Corner House Ice Cream,No,No,4.3,345.0,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400.0,Delivery,Banashankari,1483.5,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Biryanis And More,Yes,No,4.0,618.0,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari,2472.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,Biryani & Andhra Cuisine
Roving Feast,No,No,4.0,1047.0,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari,4188.0,Chinese & Pan-Asian Delights,Quick Bites & Takeaway,Continental & Cafe Culture
FreshMenu,Yes,No,3.9,627.0,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari,2445.2999999999997,North Indian & Mughlai Cuisine,Delivery Only,Global Fusion & Others
Banashankari Donne Biriyani,Yes,No,3.8,104.0,Banashankari,Quick Bites,"Biryani, Fast Food",300.0,Delivery,Banashankari,395.2,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Wamama,Yes,Yes,4.2,354.0,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,,,1486.8,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Five Star Chicken,No,No,3.6,55.0,Banashankari,Quick Bites,"Fast Food, Burger",200.0,Delivery,Banashankari,198.0,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
XO Belgian Waffle,Yes,No,3.7,17.0,Banashankari,Dessert Parlor,"Desserts, Beverages",400.0,Delivery,Banashankari,62.900000000000006,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Peppy Peppers,No,No,4.2,244.0,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800.0,,,1024.8,North Indian & Mughlai Cuisine,Casual Dining & Bar,Continental & Cafe Culture
Goa 0 Km,Yes,Yes,3.6,163.0,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari,586.8000000000001,North Indian & Mughlai Cuisine,Casual Dining & Bar,Global Fusion & Others
Chinese Kitchen,Yes,No,3.8,58.0,Basavanagudi,Quick Bites,Chinese,150.0,Delivery,Banashankari,220.39999999999998,Chinese & Pan-Asian Delights,Quick Bites & Takeaway,Chinese & Pan-Asian Delights
1947,No,Yes,4.0,808.0,Banashankari,Casual Dining,"North Indian, Chinese",850.0,Delivery,Banashankari,3232.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Cake of the Day,No,No,3.7,78.0,Banashankari,"Bakery, Dessert Parlor",Bakery,150.0,Delivery,Banashankari,288.6,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
Kabab Magic,Yes,No,4.1,1720.0,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,Banashankari,7051.999999999999,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Namma Brahmin's Idli,Yes,No,3.6,34.0,Jayanagar,Quick Bites,South Indian,100.0,Delivery,Banashankari,122.4,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Gustoes Beer House,No,No,4.1,868.0,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,Banashankari,3558.7999999999997,North Indian & Mughlai Cuisine,Others,Continental & Cafe Culture
Sugar Rush,No,No,3.8,39.0,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,148.2,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
Burger King,Yes,No,3.2,71.0,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600.0,Delivery,Banashankari,227.20000000000002,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
The Good Bowl,Yes,No,3.6,6.0,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0,Delivery,Banashankari,21.6,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Continental & Cafe Culture
The Biryani Cafe,No,No,4.1,520.0,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300.0,Delivery,Banashankari,2132.0,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
LSD Cafe,No,No,2.9,84.0,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700.0,,,243.6,North Indian & Mughlai Cuisine,Delivery Only,Chinese & Pan-Asian Delights
Rolls On Wheels,No,No,3.6,299.0,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300.0,Delivery,Banashankari,1076.4,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558.0,Basavanagudi,Quick Bites,South Indian,150.0,Delivery,Banashankari,2287.7999999999997,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Devanna Dum Biriyani Centre,Yes,No,3.6,28.0,Banashankari,Quick Bites,"Biryani, South Indian",300.0,Delivery,Banashankari,100.8,South Indian Traditional,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Kolbeh,No,No,3.7,22.0,Banashankari,Quick Bites,Fast Food,500.0,Delivery,Banashankari,81.4,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Upahar Sagar,No,No,3.8,39.0,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350.0,Delivery,Banashankari,148.2,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,South Indian Traditional
Kadalu Sea Food Restaurant,Yes,No,3.8,153.0,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Delivery,Banashankari,581.4,North Indian & Mughlai Cuisine,Fine Dining,Seafood & Coastal Flavors
Frozen Bottle,Yes,No,4.2,146.0,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0,Delivery,Banashankari,613.2,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Parimala Sweets,No,No,3.5,14.0,Banashankari,Sweet Shop,"Mithai, Street Food",200.0,Delivery,Banashankari,49.0,Street Food & Snacks,Others,Desserts & Sweets
Vaishali Deluxe,No,No,3.8,42.0,Banashankari,Casual Dining,"North Indian, Chinese",700.0,Delivery,Banashankari,159.6,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
The Big O Bakes,No,No,4.0,66.0,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,264.0,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
Meghana Foods,Yes,No,4.4,4401.0,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600.0,Delivery,Banashankari,19364.4,North Indian & Mughlai Cuisine,Casual Dining & Bar,Biryani & Andhra Cuisine
Krishna Sagar,No,No,3.5,31.0,Banashankari,Quick Bites,North Indian,200.0,Delivery,Banashankari,108.5,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Dessert Rose,No,No,3.5,7.0,Banashankari,Dessert Parlor,Desserts,500.0,Delivery,Banashankari,24.5,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Chickpet Donne Biryani House,No,No,3.7,21.0,Banashankari,Quick Bites,Biryani,250.0,Delivery,Banashankari,77.7,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Thanco's Natural Ice Creams,No,No,3.2,9.0,Banashankari,Dessert Parlor,Ice Cream,300.0,Delivery,Banashankari,28.8,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Nandhini Deluxe,No,No,2.6,283.0,Banashankari,Casual Dining,North Indian,600.0,Delivery,Banashankari,735.8000000000001,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Vi Ra's Bar and Restaurant,No,No,3.3,62.0,Banashankari,Bar,"South Indian, North Indian, Chinese",800.0,Delivery,Banashankari,204.6,North Indian & Mughlai Cuisine,Others,South Indian Traditional
Kaggis,No,No,3.8,64.0,Banashankari,Quick Bites,"Fast Food, Bakery",250.0,Delivery,Banashankari,243.2,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Ayda Persian Kitchen,No,No,3.7,39.0,Banashankari,Casual Dining,"North Indian, Iranian",950.0,Delivery,Banashankari,144.3,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Chatar Patar,No,No,3.7,65.0,Banashankari,Quick Bites,"Fast Food, Street Food",300.0,Delivery,Banashankari,240.5,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Polar Bear,Yes,No,3.8,71.0,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,Banashankari,269.8,Street Food & Snacks,Dessert & Beverage Shops,Desserts & Sweets
Kidambi's Kitchen,No,No,3.5,52.0,Banashankari,Quick Bites,South Indian,300.0,Delivery,Banashankari,182.0,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Mane Thindi,No,No,3.7,130.0,Banashankari,Quick Bites,South Indian,200.0,Delivery,Banashankari,481.0,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Kotian Karavali Restaurant,No,No,3.5,10.0,Banashankari,Quick Bites,"South Indian, Biryani",300.0,Delivery,Banashankari,35.0,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Floured-Baked With Love,No,No,3.8,45.0,Banashankari,"Takeaway, Delivery",Bakery,400.0,Delivery,Banashankari,171.0,Desserts & Sweets,Quick Bites & Takeaway,Desserts & Sweets
Cakes & Slices,No,No,3.5,13.0,Banashankari,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,45.5,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
Spice 9,No,No,3.4,8.0,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300.0,Delivery,Banashankari,27.2,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Naveen Kabab & Biriyani Mane,No,No,3.2,9.0,Banashankari,Quick Bites,Biryani,300.0,Delivery,Banashankari,28.8,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Katriguppe Donne Biryani,No,No,3.2,4.0,Banashankari,Quick Bites,North Indian,300.0,Delivery,Banashankari,12.8,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Atithi Point Ande Ka Funda,No,No,3.1,29.0,Banashankari,Quick Bites,North Indian,150.0,Delivery,Banashankari,89.9,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Just Bake,No,No,3.4,8.0,Banashankari,Bakery,"Bakery, Desserts",400.0,Delivery,Banashankari,27.2,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
K27 - The Pub,No,No,3.1,30.0,Banashankari,Bar,"Chinese, North Indian",1000.0,Delivery,Banashankari,93.0,North Indian & Mughlai Cuisine,Others,Chinese & Pan-Asian Delights
Bengaluru Coffee House,Yes,No,4.1,201.0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Banashankari,824.0999999999999,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,South Indian Traditional
New Mangalore Lunch Home,No,No,3.3,7.0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200.0,Delivery,Banashankari,23.099999999999998,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Global Fusion & Others
Coffee Bytes,No,No,3.1,6.0,Banashankari,Quick Bites,"Fast Food, South Indian",100.0,Delivery,Banashankari,18.6,South Indian Traditional,Quick Bites & Takeaway,Street Food & Snacks
Parjanya Chat Zone,No,No,3.3,17.0,Banashankari,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari,56.099999999999994,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25.0,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery,Banashankari,72.5,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Ruchi Maayaka,No,No,3.3,8.0,Banashankari,Delivery,South Indian,100.0,Delivery,Banashankari,26.4,South Indian Traditional,Delivery Only,South Indian Traditional
Anna Kuteera,Yes,No,4.0,771.0,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450.0,Delivery,Banashankari,3084.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,South Indian Traditional
Darbar,No,No,3.0,98.0,Banashankari,Bar,"North Indian, Chinese",800.0,Delivery,Banashankari,294.0,North Indian & Mughlai Cuisine,Others,North Indian & Mughlai Cuisine
Vijayalakshmi,Yes,No,3.9,47.0,Basavanagudi,Quick Bites,South Indian,200.0,Delivery,Banashankari,183.29999999999998,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Sri Udupi Food Hub,Yes,Yes,4.1,175.0,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500.0,Delivery,Banashankari,717.4999999999999,North Indian & Mughlai Cuisine,Casual Dining & Bar,South Indian Traditional
Udupi Upahar,Yes,No,3.8,58.0,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300.0,Delivery,Banashankari,220.39999999999998,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,South Indian Traditional
House Of Kebabs,Yes,No,3.8,540.0,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650.0,Delivery,Banashankari,2052.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Roll N Rock,Yes,No,3.8,124.0,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400.0,Delivery,Banashankari,471.2,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Chinese & Pan-Asian Delights
BOX8- Desi Meals,Yes,No,4.1,340.0,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500.0,Delivery,Banashankari,1393.9999999999998,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
KFC,Yes,No,3.8,505.0,Banashankari,Quick Bites,"Burger, Fast Food",450.0,Delivery,Banashankari,1919.0,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Roll Over,Yes,No,4.1,438.0,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery,Banashankari,1795.8,Street Food & Snacks,Dessert & Beverage Shops,Desserts & Sweets
Imperial Restaurant,Yes,No,3.7,264.0,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750.0,Delivery,Banashankari,976.8000000000001,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Lassi Shop,Yes,No,3.9,169.0,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150.0,Delivery,Banashankari,659.1,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
The Fortuna,Yes,No,3.0,67.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250.0,Delivery,Banashankari,201.0,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Wahab,Yes,No,3.7,97.0,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350.0,Delivery,Banashankari,358.90000000000003,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Al Diwan Biryanis And More,Yes,No,3.3,12.0,Basavanagudi,"Takeaway, Delivery",Biryani,300.0,Delivery,Banashankari,39.599999999999994,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
New Gowda's Fried Chicken,Yes,No,3.3,12.0,Banashankari,Quick Bites,Biryani,300.0,Delivery,Banashankari,39.599999999999994,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Canton,Yes,No,3.6,195.0,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800.0,Delivery,Banashankari,702.0,Biryani & Andhra Cuisine,Casual Dining & Bar,Chinese & Pan-Asian Delights
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13.0,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300.0,Delivery,Banashankari,42.9,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
The Blue Wagon - Kitchen,Yes,No,4.6,228.0,Jayanagar,Cafe,"Cafe, Beverages",400.0,Delivery,Banashankari,1048.8,Continental & Cafe Culture,Cafe & Bakery,Continental & Cafe Culture
